Ten_xe,Nam_san_xuat,So_km,Xuat_xu,Kieu_dang,Hop_so,Dong_co,Mau_ngoai_that,Mau_noi_that,So_cho_ngoi,Dan_dong,Gia_ban_text,Gia_ban,Link
Audi Q5,2015,"95,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,628 Triệu,628000000,https://bonbanh.com/xe-audi-q5-2.0-at-2015-6423891
Toyota Land Cruiser VX V8,2014,"14,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.6 L,Đen,Đen,8 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 850 Triệu,1850000000,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2014-6356452
Bentley Flying Spur First Edition V8,2021,"14,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 4.0 L,Đỏ,Nâu,5 chỗ,RFD - Dẫn động cầu sau,13 Tỷ,13000000000,https://bonbanh.com/xe-bentley-flying_spur-first-edition-v8-2021-6275734
Lexus RX,2020,"50,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 269 Triệu,3269000000,https://bonbanh.com/xe-lexus-rx-350-2020-6292088
Chevrolet Cruze LTZ,2016,"95,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Xám,Đen,5 chỗ,FWD - Dẫn động cầu trước,280 Triệu,280000000,https://bonbanh.com/xe-chevrolet-cruze-ltz-1.8-at-2016-6251191
Toyota Highlander LE,2015,"120,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Đen,Nâu,7 chỗ,FWD - Dẫn động cầu trước,860 Triệu,860000000,https://bonbanh.com/xe-toyota-highlander-le-2.7-2015-6478939
Hyundai Tucson CRDi,2019,"93,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Dầu 2.0 L,Trắng,Kem,5 chỗ,FWD - Dẫn động cầu trước,630 Triệu,630000000,https://bonbanh.com/xe-hyundai-tucson-2.0-at-crdi-2019-6297708
Kia Sorento GAT,2017,"98,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Trắng,Kem,7 chỗ,FWD - Dẫn động cầu trước,438 Triệu,438000000,https://bonbanh.com/xe-kia-sorento-gat-2017-6355815
Mazda,2017,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,375 Triệu,375000000,https://bonbanh.com/xe-mazda-3-2.0-at-2017-6288703
Nissan Almera VL Cao cấp,2022,"53,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 1.0 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,440 Triệu,440000000,https://bonbanh.com/xe-nissan-almera-vl-1.0-cvt-cao-cap-2022-6426508
Kia Sorento Signature,2020,"114,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Xanh,Kem,6 chỗ,AWD - 4 bánh toàn thời gian,845 Triệu,845000000,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2020-6471958
Mercedes Benz C class C300 AMG,2016,"111,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,RFD - Dẫn động cầu sau,599 Triệu,599000000,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2016-6377721
VinFast Lux SA Base,2020,"90,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,7 chỗ,RFD - Dẫn động cầu sau,585 Triệu,585000000,https://bonbanh.com/xe-vinfast-lux_sa_2.0-base-2.0-at-2020-6447896
Audi Q5,2015,"95,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,628 Triệu,628000000,https://bonbanh.com/xe-audi-q5-2.0-at-2015-6423891
Toyota Land Cruiser VX V8,2014,"14,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.6 L,Đen,Đen,8 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 850 Triệu,1850000000,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2014-6356452
Bentley Flying Spur First Edition V8,2021,"14,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 4.0 L,Đỏ,Nâu,5 chỗ,RFD - Dẫn động cầu sau,13 Tỷ,13000000000,https://bonbanh.com/xe-bentley-flying_spur-first-edition-v8-2021-6275734
Lexus RX,2020,"50,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 269 Triệu,3269000000,https://bonbanh.com/xe-lexus-rx-350-2020-6292088
Chevrolet Cruze LTZ,2016,"95,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Xám,Đen,5 chỗ,FWD - Dẫn động cầu trước,280 Triệu,280000000,https://bonbanh.com/xe-chevrolet-cruze-ltz-1.8-at-2016-6251191
Toyota Highlander LE,2015,"120,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Đen,Nâu,7 chỗ,FWD - Dẫn động cầu trước,860 Triệu,860000000,https://bonbanh.com/xe-toyota-highlander-le-2.7-2015-6478939
Hyundai Tucson CRDi,2019,"93,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Dầu 2.0 L,Trắng,Kem,5 chỗ,FWD - Dẫn động cầu trước,630 Triệu,630000000,https://bonbanh.com/xe-hyundai-tucson-2.0-at-crdi-2019-6297708
Kia Sorento GAT,2017,"98,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Trắng,Kem,7 chỗ,FWD - Dẫn động cầu trước,438 Triệu,438000000,https://bonbanh.com/xe-kia-sorento-gat-2017-6355815
Mazda,2017,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,375 Triệu,375000000,https://bonbanh.com/xe-mazda-3-2.0-at-2017-6288703
Nissan Almera VL Cao cấp,2022,"53,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 1.0 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,440 Triệu,440000000,https://bonbanh.com/xe-nissan-almera-vl-1.0-cvt-cao-cap-2022-6426508
LandRover Range Rover HSE,2015,0 Km,Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Đen,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 250 Triệu,2250000000,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2015-6383544
Volkswagen Teramont,2021,"67,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xanh,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 489 Triệu,1489000000,https://bonbanh.com/xe-volkswagen-teramont-2.0-at-2021-6471755
VinFast Fadil Tiêu chuẩn,2022,"23,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.4 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,328 Triệu,328000000,https://bonbanh.com/xe-vinfast-fadil-tieu-chuan-1.4-at-2022-6471179
Lexus RX Luxury,2023,"49,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.4 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 790 Triệu,3790000000,https://bonbanh.com/xe-lexus-rx-350-luxury-2023-6439060
Ford Ranger XLS,2017,"83,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.2 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,450 Triệu,450000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2017-6317224
Mercedes Benz Maybach S680 4Matic,2022,"9,600 Km",Nhập khẩu,Sedan,Số tự động,Xăng 6.0 L,Đen,Nâu,4 chỗ,AWD - 4 bánh toàn thời gian,11 Tỷ 890 Triệu,11890000000,https://bonbanh.com/xe-mercedes_benz-maybach-s680-4matic-2022-6426163
Mitsubishi Triton,2018,"70,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.5 L,Bạc,Đen,5 chỗ,RFD - Dẫn động cầu sau,420 Triệu,420000000,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2018-6474341
Nissan Almera VL Cao cấp,2022,"53,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 1.0 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,440 Triệu,440000000,https://bonbanh.com/xe-nissan-almera-vl-1.0-cvt-cao-cap-2022-6426508
LandRover Range Rover HSE,2015,0 Km,Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Đen,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 250 Triệu,2250000000,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2015-6383544
Volkswagen Teramont,2021,"67,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xanh,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 489 Triệu,1489000000,https://bonbanh.com/xe-volkswagen-teramont-2.0-at-2021-6471755
VinFast Fadil Tiêu chuẩn,2022,"23,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.4 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,328 Triệu,328000000,https://bonbanh.com/xe-vinfast-fadil-tieu-chuan-1.4-at-2022-6471179
Lexus RX Luxury,2023,"49,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.4 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 790 Triệu,3790000000,https://bonbanh.com/xe-lexus-rx-350-luxury-2023-6439060
Ford Ranger XLS,2017,"83,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.2 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,450 Triệu,450000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2017-6317224
Mercedes Benz Maybach S680 4Matic,2022,"9,600 Km",Nhập khẩu,Sedan,Số tự động,Xăng 6.0 L,Đen,Nâu,4 chỗ,AWD - 4 bánh toàn thời gian,11 Tỷ 890 Triệu,11890000000,https://bonbanh.com/xe-mercedes_benz-maybach-s680-4matic-2022-6426163
Mitsubishi Triton,2018,"70,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.5 L,Bạc,Đen,5 chỗ,RFD - Dẫn động cầu sau,420 Triệu,420000000,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2018-6474341
Nissan Navara EL A IVI,2020,"90,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.5 L,Trắng,Kem,5 chỗ,RFD - Dẫn động cầu sau,475 Triệu,475000000,https://bonbanh.com/xe-nissan-navara-el-a-ivi-2.5-at-2wd-2020-6426040
Hyundai i10 Grand,2019,"87,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.25 L,Đồng,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,289 Triệu,289000000,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-6331202
Kia Carnival Signature .2D,2023,"45,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Xanh,Nâu,7 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 270 Triệu,1270000000,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2023-6271396
Hyundai Elantra Đặc biệt,2022,"35,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.6 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,535 Triệu,535000000,https://bonbanh.com/xe-hyundai-elantra-1.6-at-dac-biet-2022-6406049
Mitsubishi Pajero Sport .4D,2021,"30,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.4 L,Trắng,Đen,7 chỗ,4WD - Dẫn động 4 bánh,900 Triệu,900000000,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2021-6434081
Ford Everest Titanium Plus,2024,"25,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Nâu,Đen,7 chỗ,4WD - Dẫn động 4 bánh,1 Tỷ 379 Triệu,1379000000,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-6351886
Lexus LM 500h,2024,"11,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Hybrid 2.4 L,Đen,-,6 chỗ,AWD - 4 bánh toàn thời gian,8 Tỷ 390 Triệu,8390000000,https://bonbanh.com/xe-lexus-lm-500h-2024-6340994
Mercedes Benz S class S450L,2020,"50,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,2 Tỷ 250 Triệu,2250000000,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2020-6333826
LandRover Range Rover Velar R Dynamic SE,2019,"86,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xám,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 299 Triệu,2299000000,https://bonbanh.com/xe-landrover-range_rover_velar-r-dynamic-se-2.0-2019-6473301
Toyota Corolla Cross .8V,2022,"45,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Trắng,Đỏ,5 chỗ,FWD - Dẫn động cầu trước,725 Triệu,725000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-6471771
VinFast VF8 Eco,2022,"69,000 Km",Lắp ráp trong nước,SUV,Số tự động,Điện,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,670 Triệu,670000000,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2022-6450280
Lynk & Co Hyper Pro,2024,"21,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xanh,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,859 Triệu,859000000,https://bonbanh.com/xe-lynk_co-01-hyper-pro-2024-6398705
Chevrolet Cruze LTZ,2016,"95,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Xám,Đen,5 chỗ,FWD - Dẫn động cầu trước,280 Triệu,280000000,https://bonbanh.com/xe-chevrolet-cruze-ltz-1.8-at-2016-6251191
Toyota Highlander LE,2015,"120,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Đen,Nâu,7 chỗ,FWD - Dẫn động cầu trước,860 Triệu,860000000,https://bonbanh.com/xe-toyota-highlander-le-2.7-2015-6478939
Hyundai Tucson CRDi,2019,"93,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Dầu 2.0 L,Trắng,Kem,5 chỗ,FWD - Dẫn động cầu trước,630 Triệu,630000000,https://bonbanh.com/xe-hyundai-tucson-2.0-at-crdi-2019-6297708
Kia Sorento GAT,2017,"98,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Trắng,Kem,7 chỗ,FWD - Dẫn động cầu trước,438 Triệu,438000000,https://bonbanh.com/xe-kia-sorento-gat-2017-6355815
Mazda,2017,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,375 Triệu,375000000,https://bonbanh.com/xe-mazda-3-2.0-at-2017-6288703
Nissan Almera VL Cao cấp,2022,"53,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 1.0 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,440 Triệu,440000000,https://bonbanh.com/xe-nissan-almera-vl-1.0-cvt-cao-cap-2022-6426508
LandRover Range Rover HSE,2015,0 Km,Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Đen,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 250 Triệu,2250000000,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2015-6383544
Volkswagen Teramont,2021,"67,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xanh,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 489 Triệu,1489000000,https://bonbanh.com/xe-volkswagen-teramont-2.0-at-2021-6471755
VinFast Fadil Tiêu chuẩn,2022,"23,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.4 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,328 Triệu,328000000,https://bonbanh.com/xe-vinfast-fadil-tieu-chuan-1.4-at-2022-6471179
Lexus RX Luxury,2023,"49,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.4 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 790 Triệu,3790000000,https://bonbanh.com/xe-lexus-rx-350-luxury-2023-6439060
Ford Ranger XLS,2017,"83,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.2 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,450 Triệu,450000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2017-6317224
Mercedes Benz Maybach S680 4Matic,2022,"9,600 Km",Nhập khẩu,Sedan,Số tự động,Xăng 6.0 L,Đen,Nâu,4 chỗ,AWD - 4 bánh toàn thời gian,11 Tỷ 890 Triệu,11890000000,https://bonbanh.com/xe-mercedes_benz-maybach-s680-4matic-2022-6426163
Mitsubishi Triton,2018,"70,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.5 L,Bạc,Đen,5 chỗ,RFD - Dẫn động cầu sau,420 Triệu,420000000,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2018-6474341
Nissan Navara EL A IVI,2020,"90,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.5 L,Trắng,Kem,5 chỗ,RFD - Dẫn động cầu sau,475 Triệu,475000000,https://bonbanh.com/xe-nissan-navara-el-a-ivi-2.5-at-2wd-2020-6426040
Hyundai i10 Grand,2019,"87,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.25 L,Đồng,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,289 Triệu,289000000,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-6331202
Kia Carnival Signature .2D,2023,"45,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Xanh,Nâu,7 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 270 Triệu,1270000000,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2023-6271396
Hyundai Elantra Đặc biệt,2022,"35,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.6 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,535 Triệu,535000000,https://bonbanh.com/xe-hyundai-elantra-1.6-at-dac-biet-2022-6406049
Mitsubishi Pajero Sport .4D,2021,"30,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.4 L,Trắng,Đen,7 chỗ,4WD - Dẫn động 4 bánh,900 Triệu,900000000,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2021-6434081
Ford Everest Titanium Plus,2024,"25,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Nâu,Đen,7 chỗ,4WD - Dẫn động 4 bánh,1 Tỷ 379 Triệu,1379000000,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-6351886
Lexus LM 500h,2024,"11,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Hybrid 2.4 L,Đen,-,6 chỗ,AWD - 4 bánh toàn thời gian,8 Tỷ 390 Triệu,8390000000,https://bonbanh.com/xe-lexus-lm-500h-2024-6340994
Mercedes Benz Maybach S680 4Matic,2022,"9,600 Km",Nhập khẩu,Sedan,Số tự động,Xăng 6.0 L,Đen,Nâu,4 chỗ,AWD - 4 bánh toàn thời gian,11 Tỷ 890 Triệu,11890000000,https://bonbanh.com/xe-mercedes_benz-maybach-s680-4matic-2022-6426163
Mitsubishi Triton,2018,"70,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.5 L,Bạc,Đen,5 chỗ,RFD - Dẫn động cầu sau,420 Triệu,420000000,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2018-6474341
Nissan Navara EL A IVI,2020,"90,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.5 L,Trắng,Kem,5 chỗ,RFD - Dẫn động cầu sau,475 Triệu,475000000,https://bonbanh.com/xe-nissan-navara-el-a-ivi-2.5-at-2wd-2020-6426040
Hyundai i10 Grand,2019,"87,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.25 L,Đồng,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,289 Triệu,289000000,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-6331202
Kia Carnival Signature .2D,2023,"45,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Xanh,Nâu,7 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 270 Triệu,1270000000,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2023-6271396
Hyundai Elantra Đặc biệt,2022,"35,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.6 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,535 Triệu,535000000,https://bonbanh.com/xe-hyundai-elantra-1.6-at-dac-biet-2022-6406049
Mitsubishi Pajero Sport .4D,2021,"30,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.4 L,Trắng,Đen,7 chỗ,4WD - Dẫn động 4 bánh,900 Triệu,900000000,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2021-6434081
Ford Everest Titanium Plus,2024,"25,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Nâu,Đen,7 chỗ,4WD - Dẫn động 4 bánh,1 Tỷ 379 Triệu,1379000000,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-6351886
Lexus LM 500h,2024,"11,000 Km",Nhập khẩu,Van/Minivan,Số tự động,Hybrid 2.4 L,Đen,-,6 chỗ,AWD - 4 bánh toàn thời gian,8 Tỷ 390 Triệu,8390000000,https://bonbanh.com/xe-lexus-lm-500h-2024-6340994
Mercedes Benz S class S450L,2020,"50,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,2 Tỷ 250 Triệu,2250000000,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2020-6333826
LandRover Range Rover Velar R Dynamic SE,2019,"86,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xám,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 299 Triệu,2299000000,https://bonbanh.com/xe-landrover-range_rover_velar-r-dynamic-se-2.0-2019-6473301
Toyota Corolla Cross .8V,2022,"45,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Trắng,Đỏ,5 chỗ,FWD - Dẫn động cầu trước,725 Triệu,725000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-6471771
VinFast VF8 Eco,2022,"69,000 Km",Lắp ráp trong nước,SUV,Số tự động,Điện,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,670 Triệu,670000000,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2022-6450280
Lynk & Co Hyper Pro,2024,"21,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xanh,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,859 Triệu,859000000,https://bonbanh.com/xe-lynk_co-01-hyper-pro-2024-6398705
Toyota Corolla Cross .8V,2022,"40,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Bạc,Đen,5 chỗ,FWD - Dẫn động cầu trước,705 Triệu,705000000,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-6328968
Lexus ES,2016,"50,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Trắng,Nâu,5 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 199 Triệu,1199000000,https://bonbanh.com/xe-lexus-es-250-2016-5216413
Mercedes Benz GLC 4Matic,2017,"100,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đỏ,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,855 Triệu,855000000,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2017-6358182
